Name of fjord,Length (km/mi),County,Municipality,Coordinates
"Sørfjorden, Hordaland",40 km (25 mi),Hordaland,"Odda, Ullensvang",60°11′02″N 6°34′16″E﻿ / ﻿60.1839°N 6.5711°E
"Sørfjorden, Hordaland",30 km (19 mi),Hordaland,"Osterøy, Vaksdal",60°31′29″N 5°42′41″E﻿ / ﻿60.5247°N 5.7115°E
Sørgul,4 km (2.5 mi),Sogn og Fjordane,Bremanger,61°43′22″N 5°06′30″E﻿ / ﻿61.7227°N 5.1084°E
Tafjorden,12 km (7.5 mi),Møre og Romsdal,Norddal,62°17′16″N 7°20′38″E﻿ / ﻿62.2877°N 7.3438°E
Talgjefjord,13 km (8.1 mi),Rogaland,"Finnøy, Rennesøy",59°07′12″N 5°51′09″E﻿ / ﻿59.1200°N 5.8525°E
Tanafjord,70 km (43 mi),Finnmark,"Gamvik, Berlevåg, Tana",70°52′57″N 28°30′28″E﻿ / ﻿70.8824°N 28.5078°E
Tempelfjorden,15 km (9.3 mi),Svalbard,Spitsbergen,78°24′09″N 17°02′27″E﻿ / ﻿78.4024°N 17.0409°E
Tingvollfjorden,54 km (34 mi),Møre og Romsdal,"Gjemnes, Nesset, Sunndal, Tingvoll",62°48′22″N 8°16′04″E﻿ / ﻿62.8062°N 8.2677°E
Tjongsfjorden,17 km (11 mi),Nordland,Rødøy,66°40′53″N 13°21′35″E﻿ / ﻿66.6815°N 13.3597°E
Tjuvfjorden,45 km (28 mi),Svalbard,Edgeøya,77°28′21″N 22°17′22″E﻿ / ﻿77.4725°N 22.2894°E
Tomrefjorden,9 km (5.6 mi),Møre og Romsdal,Vestnes,62°37′25″N 6°54′06″E﻿ / ﻿62.6235°N 6.9017°E
Topdalsfjorden,11 km (6.8 mi),Vest-Agder,Kristiansand,58°09′24″N 8°02′49″E﻿ / ﻿58.1566°N 8.0469°E
Tresfjorden,12 km (7.5 mi),Møre og Romsdal,Vestnes,62°35′09″N 7°07′33″E﻿ / ﻿62.5858°N 7.1257°E
Trollfjord,2 km (1.2 mi),Nordland,Hadsel,68°21′46″N 14°56′10″E﻿ / ﻿68.3628°N 14.9361°E
Trondheimsfjord,130 km (81 mi),Trøndelag,Agdenes—Steinkjer,63°49′09″N 11°06′28″E﻿ / ﻿63.8192°N 11.1078°E
Trongfjord,4 km (2.5 mi),Møre og Romsdal,"Surnadal, Tingvoll",62°58′54″N 8°18′48″E﻿ / ﻿62.9818°N 8.3132°E
Trænfjorden,25 km (16 mi),Nordland,"Lurøy, Træna",66°25′06″N 12°08′01″E﻿ / ﻿66.4184°N 12.1335°E
Tysfjorden,59 km (37 mi),Nordland,Tysfjord,68°11′06″N 16°10′42″E﻿ / ﻿68.1851°N 16.1784°E
Tyssefjord,4 km (2.5 mi),Rogaland,Suldal,59°22′29″N 6°13′19″E﻿ / ﻿59.3747°N 6.2220°E
"Ullsfjord, Finnmark",5.5 km (3.4 mi),Finnmark,Loppa,70°17′35″N 21°58′23″E﻿ / ﻿70.2930°N 21.9730°E
"Ullsfjord, Troms",110 km (68 mi),Troms,"Lyngen, Tromsø",69°42′17″N 19°43′14″E﻿ / ﻿69.7047°N 19.7206°E
Valsøyfjorden,8 km (5.0 mi),Møre og Romsdal,Halsa,63°07′16″N 8°35′47″E﻿ / ﻿63.1212°N 8.5965°E
Van Keulenfjorden,30 km (19 mi),Svalbard,Spitsbergen,77°33′28″N 15°25′42″E﻿ / ﻿77.5578°N 15.4283°E
Van Mijenfjorden,83 km (52 mi),Svalbard,Spitsbergen,77°46′48″N 15°24′31″E﻿ / ﻿77.7800°N 15.4087°E
Vanylvsfjorden,30 km (19 mi),"Møre og Romsdal, Sogn og Fjordane","Vanylven, Selje, Sande",62°05′40″N 5°33′47″E﻿ / ﻿62.0944°N 5.563°E
Varangerfjord,100 km (62 mi),Finnmark,"Nesseby, Sør-Varanger, Vadsø, Vardø",70°05′28″N 29°00′33″E﻿ / ﻿70.0911°N 29.0091°E
Vartdalsfjord,20 km (12 mi),Møre og Romsdal,"Hareid, Ulstein, Ørsta",62°18′43″N 6°03′23″E﻿ / ﻿62.3120°N 6.0565°E
Vatsfjord,5 km (3.1 mi),Rogaland,Vindafjord,59°28′02″N 5°44′25″E﻿ / ﻿59.4671°N 5.7404°E
Vefsnfjorden,51 km (32 mi),Nordland,"Alstahaug, Leirfjord, Vefsn",65°54′17″N 12°36′38″E﻿ / ﻿65.9047°N 12.6106°E
Vegafjorden,22 km (14 mi),Nordland,"Brønnøy, Vega",65°28′43″N 11°47′25″E﻿ / ﻿65.4786°N 11.7903°E
Velfjorden,31 km (19 mi),Nordland,"Brønnøy, Vevelstad",65°32′39″N 12°20′20″E﻿ / ﻿65.5442°N 12.3389°E
Vestfjorden,155 km (96 mi),Nordland,Værøy—Ballangen,67°38′27″N 12°55′09″E﻿ / ﻿67.6407°N 12.9192°E
"Vestfjorden, Nordkapp",155 km (96 mi),Finnmark,Nordkapp,71°07′31″N 25°47′39″E﻿ / ﻿71.1253°N 25.7943°E
Vetlefjorden,6 km (3.7 mi),Sogn og Fjordane,Balestrand,61°16′19″N 6°33′05″E﻿ / ﻿61.2720°N 6.5515°E
Vindafjorden,18 km (11 mi),Rogaland,"Suldal, Tysvær, Vindafjord",59°27′40″N 6°01′29″E﻿ / ﻿59.4612°N 6.0247°E
Vinjefjorden,53 km (33 mi),"Møre og Romsdal, Trøndelag","Aure, Halsa, Hemne, Kristiansund, Tingvoll",63°10′23″N 8°33′51″E﻿ / ﻿63.1730°N 8.5643°E
Voldsfjorden,18 km (11 mi),Møre og Romsdal,Volda,62°12′37″N 5°51′34″E﻿ / ﻿62.2102°N 5.8594°E
Værangfjorden,15 km (9.3 mi),Nordland,Rødøy,66°35′12″N 13°11′02″E﻿ / ﻿66.5867°N 13.1839°E
Wahlenbergfjorden,46 km (29 mi),Svalbard,Spitsbergen,79°44′39″N 20°46′38″E﻿ / ﻿79.7443°N 20.7771°E
Wijdefjorden,108 km (67 mi),Svalbard,Spitsbergen,79°37′44″N 15°27′00″E﻿ / ﻿79.6289°N 15.4500°E
Woodfjorden,64 km (40 mi),Svalbard,Spitsbergen,79°44′18″N 14°05′20″E﻿ / ﻿79.7384°N 14.0890°E
Yrkefjorden,12 km (7.5 mi),Rogaland,"Tysvær, Vindafjord",59°24′43″N 5°42′55″E﻿ / ﻿59.4120°N 5.7153°E
Ytre Oslofjord,67 km (42 mi),"Buskerud, Vestfold, Østfold",Tjøme—Hurum,59°20′02″N 10°33′43″E﻿ / ﻿59.3338°N 10.5620°E
"Øksfjord, Finnmark",23 km (14 mi),Finnmark,Loppa,70°11′17″N 22°17′49″E﻿ / ﻿70.1880°N 22.2969°E
"Øksfjord, Nordland",24 km (15 mi),Nordland,Lødingen,68°22′41″N 15°19′17″E﻿ / ﻿68.3781°N 15.3215°E
Økstrafjorden,6 km (3.7 mi),Rogaland,Suldal,59°21′03″N 6°05′42″E﻿ / ﻿59.3507°N 6.0950°E
Åfjorden,67 km (42 mi),Trøndelag,Åfjord,63°55′08″N 10°04′26″E﻿ / ﻿63.9190°N 10.0739°E
Åkrafjorden,32 km (20 mi),Hordaland,"Etne, Kvinnherad",59°44′51″N 5°59′54″E﻿ / ﻿59.7476°N 5.9983°E
Åmøyfjord,4 km (2.5 mi),Rogaland,"Rennesøy, Stavanger",59°01′13″N 5°41′33″E﻿ / ﻿59.0204°N 5.6925°E
Årdalsfjord,16 km (9.9 mi),Sogn og Fjordane,Årdal,61°13′37″N 7°41′00″E﻿ / ﻿61.2270°N 7.6834°E
